"thread_title";"thread_title_link";"author";"replies";"views";"lastuser";"lastuser_link";"lastpost_link";"lastpost_datetime"
"""UPDATE"" TRT treatment, Been a while now";"http://www.cancerforums.net/threads/22118-quot-UPDATE-quot-TRT-treatment-Been-a-while-now";"Tiredofbeingsick";2;1;"Tiredofbeingsick";"http://www.cancerforums.net/members/22603-Tiredofbeingsick";"http://www.cancerforums.net/threads/22118-quot-UPDATE-quot-TRT-treatment-Been-a-while-now?p=123588#post123588";"03-13-2012, 09:43 PM"
"""Varieties"" of Testosterone ""Food"" for Prostate Cancer";"http://www.cancerforums.net/threads/18071-quot-Varieties-quot-of-Testosterone-quot-Food-quot-for-Prostate-Cancer";"sequoiaranger";3;3;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/18071-quot-Varieties-quot-of-Testosterone-quot-Food-quot-for-Prostate-Cancer?p=95633#post95633";"07-24-2011, 03:20 AM"
"#healthevoices16";"http://www.cancerforums.net/threads/47911-healthevoices16";"Todd1963";18;1;"Todd1963";"http://www.cancerforums.net/members/119422-Todd1963";"http://www.cancerforums.net/threads/47911-healthevoices16?p=308853#post308853";"05-10-2016, 08:33 PM"
"% of cancer in core";"http://www.cancerforums.net/threads/9092-of-cancer-in-core";"Ventura";4;3;"brainman";"http://www.cancerforums.net/members/1295-brainman";"http://www.cancerforums.net/threads/9092-of-cancer-in-core?p=46256#post46256";"05-01-2009, 11:00 PM"
"'Heterogenous' prostate on pelvic CT, any significance?";"http://www.cancerforums.net/threads/31125-Heterogenous-prostate-on-pelvic-CT-any-significance";"jarl";5;6;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/31125-Heterogenous-prostate-on-pelvic-CT-any-significance?p=185518#post185518";"05-04-2013, 04:48 AM"
"'Sensations' with PCa?";"http://www.cancerforums.net/threads/23907-Sensations-with-PCa";"sophiecentaur";0;1;"sophiecentaur";"http://www.cancerforums.net/members/31680-sophiecentaur";"http://www.cancerforums.net/threads/23907-Sensations-with-PCa?p=135098#post135098";"06-26-2012, 12:24 PM"
"(urgent) Ukrain";"http://www.cancerforums.net/threads/23199-(urgent)-Ukrain";"annabel";6;3;"annabel";"http://www.cancerforums.net/members/31347-annabel";"http://www.cancerforums.net/threads/23199-(urgent)-Ukrain?p=130662#post130662";"05-14-2012, 06:10 PM"
"+1yr post radical prostatectomy, now some testicular pain?";"http://www.cancerforums.net/threads/46533-1yr-post-radical-prostatectomy-now-some-testicular-pain";"mom2two";2;1;"Ray61";"http://www.cancerforums.net/members/114612-Ray61";"http://www.cancerforums.net/threads/46533-1yr-post-radical-prostatectomy-now-some-testicular-pain?p=297443#post297443";"12-03-2015, 01:28 AM"
".....Chemo time!";"http://www.cancerforums.net/threads/43591-Chemo-time!";"WifeinWorry";14;6;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/43591-Chemo-time!?p=275664#post275664";"04-02-2015, 02:24 AM"
"..6 wk post op PSA 0.02 & thats a good start..";"http://www.cancerforums.net/threads/32081-6-wk-post-op-PSA-0-02-amp-thats-a-good-start";"Appleseed";4;2;"Appleseed";"http://www.cancerforums.net/members/104581-Appleseed";"http://www.cancerforums.net/threads/32081-6-wk-post-op-PSA-0-02-amp-thats-a-good-start?p=193111#post193111";"06-27-2013, 10:29 PM"
"0 Club";"http://www.cancerforums.net/threads/34097-0-Club";"MartyAtx";3;1;"azsunshine";"http://www.cancerforums.net/members/105456-azsunshine";"http://www.cancerforums.net/threads/34097-0-Club?p=208251#post208251";"10-05-2013, 01:54 AM"
"1 month post op PSA check.";"http://www.cancerforums.net/threads/33873-1-month-post-op-PSA-check";"JD1969";4;1;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/33873-1-month-post-op-PSA-check?p=206621#post206621";"09-24-2013, 02:22 AM"
"1 step forward, 2 steps back - incontinence";"http://www.cancerforums.net/threads/45213-1-step-forward-2-steps-back-incontinence";"masbirdies";23;4;"Aloysius";"http://www.cancerforums.net/members/111883-Aloysius";"http://www.cancerforums.net/threads/45213-1-step-forward-2-steps-back-incontinence?p=288909#post288909";"08-23-2015, 10:31 PM"
"1 week PostOp";"http://www.cancerforums.net/threads/28046-1-week-PostOp";"NavyChief";4;1;"Tim2.0";"http://www.cancerforums.net/members/96005-Tim2-0";"http://www.cancerforums.net/threads/28046-1-week-PostOp?p=163077#post163077";"12-27-2012, 06:14 PM"
"1 year anniversary";"http://www.cancerforums.net/threads/38501-1-year-anniversary";"azsunshine";22;5;"Bravehardon";"http://www.cancerforums.net/members/106840-Bravehardon";"http://www.cancerforums.net/threads/38501-1-year-anniversary?p=243820#post243820";"06-23-2014, 09:09 PM"
"1 Year Cancer Free Today";"http://www.cancerforums.net/threads/40037-1-Year-Cancer-Free-Today";"Ralph";10;2;"Sarg";"http://www.cancerforums.net/members/81594-Sarg";"http://www.cancerforums.net/threads/40037-1-Year-Cancer-Free-Today?p=248391#post248391";"08-02-2014, 11:40 AM"
"10 months after surgery... pain down there...";"http://www.cancerforums.net/threads/38686-10-months-after-surgery-pain-down-there";"ddayglo";3;1;"ddayglo";"http://www.cancerforums.net/members/104661-ddayglo";"http://www.cancerforums.net/threads/38686-10-months-after-surgery-pain-down-there?p=239856#post239856";"05-21-2014, 06:56 PM"
"10 months post Bracchytheraphy..PSA 1.1..is this OK?";"http://www.cancerforums.net/threads/32499-10-months-post-Bracchytheraphy-PSA-1-1-is-this-OK";"malbaby";4;2;"malbaby";"http://www.cancerforums.net/members/50194-malbaby";"http://www.cancerforums.net/threads/32499-10-months-post-Bracchytheraphy-PSA-1-1-is-this-OK?p=196320#post196320";"07-18-2013, 03:12 AM"
"10 months PSA Undetectable";"http://www.cancerforums.net/threads/43274-10-months-PSA-Undetectable";"Shittingbricks";4;1;"PeterG";"http://www.cancerforums.net/members/108180-PeterG";"http://www.cancerforums.net/threads/43274-10-months-PSA-Undetectable?p=272655#post272655";"03-07-2015, 11:21 PM"
"10 weeks biopsy to surgery normal?";"http://www.cancerforums.net/threads/17966-10-weeks-biopsy-to-surgery-normal";"Skier";2;1;"Woody NF";"http://www.cancerforums.net/members/22992-Woody-NF";"http://www.cancerforums.net/threads/17966-10-weeks-biopsy-to-surgery-normal?p=94533#post94533";"07-12-2011, 02:45 AM"
"10 Weeks Now";"http://www.cancerforums.net/threads/30220-10-Weeks-Now";"Sarg";10;2;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/30220-10-Weeks-Now?p=179767#post179767";"03-27-2013, 08:27 PM"
"10 weeks post-op";"http://www.cancerforums.net/threads/32951-10-weeks-post-op";"njs";5;1;"JD1969";"http://www.cancerforums.net/members/104911-JD1969";"http://www.cancerforums.net/threads/32951-10-weeks-post-op?p=199741#post199741";"08-08-2013, 02:51 PM"
"10 year Anniversary";"http://www.cancerforums.net/threads/48161-10-year-Anniversary";"Todd1963";14;1;"GeorgeS";"http://www.cancerforums.net/members/112617-GeorgeS";"http://www.cancerforums.net/threads/48161-10-year-Anniversary?p=311565#post311565";"06-15-2016, 06:42 PM"
"10-Year Outcomes after Monitoring, Surgery, or Radiotherapy for Localized PCa";"http://www.cancerforums.net/threads/49387-10-Year-Outcomes-after-Monitoring-Surgery-or-Radiotherapy-for-Localized-PCa?s=7425222891ad50eb28bb980913228222";"Otago";8;556;"Chico Dave";"http://www.cancerforums.net/members/120639-Chico-Dave?s=7425222891ad50eb28bb980913228222";"http://www.cancerforums.net/threads/49387-10-Year-Outcomes-after-Monitoring-Surgery-or-Radiotherapy-for-Localized-PCa?s=7425222891ad50eb28bb980913228222&p=322081#post322081";"11-11-2016, 03:41 PM"
"11 days post robotic surgery";"http://www.cancerforums.net/threads/21849-11-days-post-robotic-surgery";"FLmlp";4;3;"FLmlp";"http://www.cancerforums.net/members/23486-FLmlp";"http://www.cancerforums.net/threads/21849-11-days-post-robotic-surgery?p=122092#post122092";"03-02-2012, 01:24 AM"
"11 Month PSA and Incontinence Fix";"http://www.cancerforums.net/threads/42730-11-Month-PSA-and-Incontinence-Fix";"Jebstart";10;2;"Flkjr";"http://www.cancerforums.net/members/104477-Flkjr";"http://www.cancerforums.net/threads/42730-11-Month-PSA-and-Incontinence-Fix?p=268075#post268075";"01-31-2015, 09:45 PM"
"12 core biopsy samples 1/1000 of the prostate, What does that mean";"http://www.cancerforums.net/threads/34600-12-core-biopsy-samples-1-1000-of-the-prostate-What-does-that-mean";"35coupe";36;10;"njs";"http://www.cancerforums.net/members/104192-njs";"http://www.cancerforums.net/threads/34600-12-core-biopsy-samples-1-1000-of-the-prostate-What-does-that-mean?p=212033#post212033";"11-01-2013, 01:28 AM"
"12 days post-robotic prostatectomy, AND DOING GREAT!";"http://www.cancerforums.net/threads/41332-12-days-post-robotic-prostatectomy-AND-DOING-GREAT!";"Kens";9;3;"organic farmer";"http://www.cancerforums.net/members/113088-organic-farmer";"http://www.cancerforums.net/threads/41332-12-days-post-robotic-prostatectomy-AND-DOING-GREAT!?p=259185#post259185";"11-11-2014, 11:51 PM"
"12 Hours to go....";"http://www.cancerforums.net/threads/42379-12-Hours-to-go";"Wilde";72;18;"ddayglo";"http://www.cancerforums.net/members/104661-ddayglo";"http://www.cancerforums.net/threads/42379-12-Hours-to-go?p=275011#post275011";"03-27-2015, 11:11 PM"
"12 months and counting...";"http://www.cancerforums.net/threads/40381-12-months-and-counting";"Arthur";3;1;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/40381-12-months-and-counting?p=249963#post249963";"08-19-2014, 02:32 AM"
"12 years out from RRP, 4 years since 33 radiationn treatments";"http://www.cancerforums.net/threads/26384-12-years-out-from-RRP-4-years-since-33-radiationn-treatments";"philbo55";2;2;"philbo55";"http://www.cancerforums.net/members/55642-philbo55";"http://www.cancerforums.net/threads/26384-12-years-out-from-RRP-4-years-since-33-radiationn-treatments?p=152814#post152814";"10-30-2012, 11:32 AM"
"14 month post - op status";"http://www.cancerforums.net/threads/28546-14-month-post-op-status";"Race";7;2;"ThatBiopsyHurt";"http://www.cancerforums.net/members/28389-ThatBiopsyHurt";"http://www.cancerforums.net/threads/28546-14-month-post-op-status?p=166464#post166464";"01-14-2013, 05:26 AM"
"15 days after the surgery";"http://www.cancerforums.net/threads/28878-15-days-after-the-surgery";"OTCHU";3;1;"blank";"http://www.cancerforums.net/members/96949-blank";"http://www.cancerforums.net/threads/28878-15-days-after-the-surgery?p=168425#post168425";"01-24-2013, 05:36 PM"
"15 month Update - PSA moved from .02 to .06. Concerned...";"http://www.cancerforums.net/threads/31312-15-month-Update-PSA-moved-from-02-to-06-Concerned";"Old";7;2;"Old Bridge";"http://www.cancerforums.net/members/30101-Old-Bridge";"http://www.cancerforums.net/threads/31312-15-month-Update-PSA-moved-from-02-to-06-Concerned?p=187084#post187084";"05-15-2013, 01:37 AM"
"16 Month Post Op Blues";"http://www.cancerforums.net/threads/49348-16-Month-Post-Op-Blues?s=7425222891ad50eb28bb980913228222";"Scurrent";7;583;"Prowler";"http://www.cancerforums.net/members/105626-Prowler?s=7425222891ad50eb28bb980913228222";"http://www.cancerforums.net/threads/49348-16-Month-Post-Op-Blues?s=7425222891ad50eb28bb980913228222&p=322055#post322055";"11-11-2016, 03:16 AM"
"16 months out of LDR/HDR â€“ Some concerns";"http://www.cancerforums.net/threads/49013-16-months-out-of-LDR-HDR-%E2%80%93-Some-concerns";"Felixdacat";3;459;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/49013-16-months-out-of-LDR-HDR-%E2%80%93-Some-concerns?p=318751#post318751";"09-25-2016, 10:47 PM"
"16 months post RALP";"http://www.cancerforums.net/threads/41577-16-months-post-RALP";"edwardo";2;1;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/41577-16-months-post-RALP?p=258677#post258677";"11-07-2014, 03:36 AM"
"164 ng/ml?";"http://www.cancerforums.net/threads/44338-164-ng-ml";"david1002a";5;1;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/44338-164-ng-ml?p=281159#post281159";"05-29-2015, 02:31 AM"
"17 Days post op";"http://www.cancerforums.net/threads/35989-17-Days-post-op";"Greatwhitenorth";8;2;"Greatwhitenorth";"http://www.cancerforums.net/members/108489-Greatwhitenorth";"http://www.cancerforums.net/threads/35989-17-Days-post-op?p=221099#post221099";"01-05-2014, 05:02 PM"
"18 month results.";"http://www.cancerforums.net/threads/46696-18-month-results";"Webheadfred";8;1;"shu246";"http://www.cancerforums.net/members/106140-shu246";"http://www.cancerforums.net/threads/46696-18-month-results?p=298942#post298942";"12-25-2015, 12:29 AM"
"18 months post radiation....still a very happy undetectable";"http://www.cancerforums.net/threads/49206-18-months-post-radiation-still-a-very-happy-undetectable";"creekrat";3;338;"MichiganMan16";"http://www.cancerforums.net/members/117327-MichiganMan16";"http://www.cancerforums.net/threads/49206-18-months-post-radiation-still-a-very-happy-undetectable?p=320461#post320461";"10-18-2016, 06:09 PM"
"18 months PSA Undetectable ðŸ˜„";"http://www.cancerforums.net/threads/45707-18-months-PSA-Undetectable-%F0%9F%98%84";"Shittingbricks";4;1;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/45707-18-months-PSA-Undetectable-%F0%9F%98%84?p=290761#post290761";"09-12-2015, 06:10 PM"
"18 years";"http://www.cancerforums.net/threads/40377-18-years";"crablad";3;1;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/40377-18-years?p=249966#post249966";"08-19-2014, 02:42 AM"
"18+ Months Out...All Still Good!";"http://www.cancerforums.net/threads/48984-18-Months-Out-All-Still-Good!";"tbird71";2;412;"Michael F";"http://www.cancerforums.net/members/109130-Michael-F";"http://www.cancerforums.net/threads/48984-18-Months-Out-All-Still-Good!?p=318523#post318523";"09-22-2016, 12:46 PM"
"18, not cancer but slightly elevated psa?";"http://www.cancerforums.net/threads/41497-18-not-cancer-but-slightly-elevated-psa";"ChardRich";3;1;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/41497-18-not-cancer-but-slightly-elevated-psa?p=258073#post258073";"11-02-2014, 02:08 AM"
"19 Days post DaVinci Surgery - My Update";"http://www.cancerforums.net/threads/33176-19-Days-post-DaVinci-Surgery-My-Update";"Ralph";10;2;"Ralph P.";"http://www.cancerforums.net/members/103657-Ralph-P";"http://www.cancerforums.net/threads/33176-19-Days-post-DaVinci-Surgery-My-Update?p=201496#post201496";"08-19-2013, 06:55 PM"
"19 months post surgery, 1 year since finished SRT, what is up with this?";"http://www.cancerforums.net/threads/46024-19-months-post-surgery-1-year-since-finished-SRT-what-is-up-with-this";"white08gt";4;1;"Bravehardon";"http://www.cancerforums.net/members/106840-Bravehardon";"http://www.cancerforums.net/threads/46024-19-months-post-surgery-1-year-since-finished-SRT-what-is-up-with-this?p=293451#post293451";"10-10-2015, 05:44 PM"
"1st post SRT PSA";"http://www.cancerforums.net/threads/48086-1st-post-SRT-PSA";"Chester2016";14;2;"Wilde";"http://www.cancerforums.net/members/113837-Wilde";"http://www.cancerforums.net/threads/48086-1st-post-SRT-PSA?p=315668#post315668";"08-15-2016, 03:44 PM"
"1st Post Surgical PSA";"http://www.cancerforums.net/threads/40323-1st-Post-Surgical-PSA";"Ralph113";2;888;"Jim215";"http://www.cancerforums.net/members/110833-Jim215";"http://www.cancerforums.net/threads/40323-1st-Post-Surgical-PSA?p=249532#post249532";"08-15-2014, 12:19 AM"
"1st PSA 3 months post RALP = 0.3. What to do?";"http://www.cancerforums.net/threads/45066-1st-PSA-3-months-post-RALP-0-3-What-to-do";"BeesWife";11;2;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/45066-1st-PSA-3-months-post-RALP-0-3-What-to-do?p=286803#post286803";"08-03-2015, 12:32 PM"
"1st PSA Post op";"http://www.cancerforums.net/threads/33118-1st-PSA-Post-op";"lLance";5;1;"swelborn";"http://www.cancerforums.net/members/104183-swelborn";"http://www.cancerforums.net/threads/33118-1st-PSA-Post-op?p=201540#post201540";"08-19-2013, 11:31 PM"
"1st time posting - Trimix low dose looong effect";"http://www.cancerforums.net/threads/26277-1st-time-posting-Trimix-low-dose-looong-effect";"Carlos";1;2;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/26277-1st-time-posting-Trimix-low-dose-looong-effect?p=152225#post152225";"10-26-2012, 02:32 AM"
"1Year Post Robotic--Life is Good!";"http://www.cancerforums.net/threads/35551-1Year-Post-Robotic-Life-is-Good!";"NYC";5;1;"Bob_R";"http://www.cancerforums.net/members/105495-Bob_R";"http://www.cancerforums.net/threads/35551-1Year-Post-Robotic-Life-is-Good!?p=218918#post218918";"12-21-2013, 08:37 PM"
"2 Days after RRP with Di Vinci";"http://www.cancerforums.net/threads/31880-2-Days-after-RRP-with-Di-Vinci";"lLance";27;5;"njs";"http://www.cancerforums.net/members/104192-njs";"http://www.cancerforums.net/threads/31880-2-Days-after-RRP-with-Di-Vinci?p=192938#post192938";"06-26-2013, 06:20 PM"
"2 hernia surguries already";"http://www.cancerforums.net/threads/21673-2-hernia-surguries-already";"Bob264";6;2;"Bob264";"http://www.cancerforums.net/members/29540-Bob264";"http://www.cancerforums.net/threads/21673-2-hernia-surguries-already?p=121431#post121431";"02-26-2012, 09:31 PM"
"2 months after DaVinci, back on Foley catheter again";"http://www.cancerforums.net/threads/49062-2-months-after-DaVinci-back-on-Foley-catheter-again?s=7425222891ad50eb28bb980913228222";"rooster22";21;1;"rooster22";"http://www.cancerforums.net/members/119783-rooster22?s=7425222891ad50eb28bb980913228222";"http://www.cancerforums.net/threads/49062-2-months-after-DaVinci-back-on-Foley-catheter-again?s=7425222891ad50eb28bb980913228222&p=321429#post321429";"10-31-2016, 03:11 PM"
"2 months out";"http://www.cancerforums.net/threads/34640-2-months-out";"Mrmac123";12;3;"blueox1127";"http://www.cancerforums.net/members/103051-blueox1127";"http://www.cancerforums.net/threads/34640-2-months-out?p=215932#post215932";"11-29-2013, 11:09 PM"
"2 months post-op (new member) w/testicle pain";"http://www.cancerforums.net/threads/33669-2-months-post-op-(new-member)-w-testicle-pain";"edwardo";3;1;"edwardo";"http://www.cancerforums.net/members/106406-edwardo";"http://www.cancerforums.net/threads/33669-2-months-post-op-(new-member)-w-testicle-pain?p=205213#post205213";"09-13-2013, 01:21 AM"
"2 more days before surgery";"http://www.cancerforums.net/threads/43595-2-more-days-before-surgery";"hopper";9;4;"hms03049";"http://www.cancerforums.net/members/115122-hms03049";"http://www.cancerforums.net/threads/43595-2-more-days-before-surgery?p=275396#post275396";"03-31-2015, 12:02 AM"
"2 or 3 Doctors ?";"http://www.cancerforums.net/threads/30683-2-or-3-Doctors";"Guarnera";2;1;"timeshifter";"http://www.cancerforums.net/members/37521-timeshifter";"http://www.cancerforums.net/threads/30683-2-or-3-Doctors?p=182370#post182370";"04-13-2013, 12:18 AM"
"2 questions 1) recent change in psa 2) weight loss";"http://www.cancerforums.net/threads/12167-2-questions-1)-recent-change-in-psa-2)-weight-loss";"richjohnson";1;2;"Replicant";"http://www.cancerforums.net/members/3361-Replicant";"http://www.cancerforums.net/threads/12167-2-questions-1)-recent-change-in-psa-2)-weight-loss?p=63232#post63232";"02-21-2010, 05:10 PM"
"2 questions guys.....";"http://www.cancerforums.net/threads/49068-2-questions-guys";"Ron_G";13;922;"Rich2.0";"http://www.cancerforums.net/members/120123-Rich2-0";"http://www.cancerforums.net/threads/49068-2-questions-guys?p=319503#post319503";"10-05-2016, 04:49 PM"
"2 weeks out from surgery today!";"http://www.cancerforums.net/threads/31530-2-weeks-out-from-surgery-today!";"Gyndavid";5;2;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/31530-2-weeks-out-from-surgery-today!?p=188439#post188439";"05-25-2013, 07:42 PM"
"2 weeks post surgery";"http://www.cancerforums.net/threads/39134-2-weeks-post-surgery";"Ralph113";5;2;"gearloose";"http://www.cancerforums.net/members/107088-gearloose";"http://www.cancerforums.net/threads/39134-2-weeks-post-surgery?p=242559#post242559";"06-13-2014, 09:47 AM"
"2 years after RP, PSA at .3";"http://www.cancerforums.net/threads/9171-2-years-after-RP-PSA-at-3";"Larryh820";3;3;"Replicant";"http://www.cancerforums.net/members/3361-Replicant";"http://www.cancerforums.net/threads/9171-2-years-after-RP-PSA-at-3?p=46748#post46748";"05-13-2009, 10:34 PM"
"2 years after surgery. single and the effects of surgery related impotence";"http://www.cancerforums.net/threads/31347-2-years-after-surgery-single-and-the-effects-of-surgery-related-impotence";"Peggysson";11;5;"Foder";"http://www.cancerforums.net/members/119508-Foder";"http://www.cancerforums.net/threads/31347-2-years-after-surgery-single-and-the-effects-of-surgery-related-impotence?p=309979#post309979";"05-25-2016, 08:25 AM"
"2 years since divinci";"http://www.cancerforums.net/threads/45730-2-years-since-divinci";"gsteve";27;5;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/45730-2-years-since-divinci?p=291787#post291787";"09-24-2015, 03:37 AM"
"2+ years since dad's prostate surgery";"http://www.cancerforums.net/threads/44714-2-years-since-dad-s-prostate-surgery";"JustBrandon";4;1;"JustBrandon";"http://www.cancerforums.net/members/108130-JustBrandon";"http://www.cancerforums.net/threads/44714-2-years-since-dad-s-prostate-surgery?p=284154#post284154";"07-02-2015, 03:46 PM"
"2.5 Days to go";"http://www.cancerforums.net/threads/44116-2-5-Days-to-go";"hopper";9;5;"Michael F";"http://www.cancerforums.net/members/109130-Michael-F";"http://www.cancerforums.net/threads/44116-2-5-Days-to-go?p=279702#post279702";"05-11-2015, 01:05 PM"
"2.5 years post surgery; Update";"http://www.cancerforums.net/threads/48587-2-5-years-post-surgery-Update";"djw30";5;784;"Wilde";"http://www.cancerforums.net/members/113837-Wilde";"http://www.cancerforums.net/threads/48587-2-5-years-post-surgery-Update?p=314759#post314759";"08-02-2016, 07:34 AM"
"2.5 yrs later - psa rises.";"http://www.cancerforums.net/threads/48148-2-5-yrs-later-psa-rises";"September";23;3;"MichiganMan16";"http://www.cancerforums.net/members/117327-MichiganMan16";"http://www.cancerforums.net/threads/48148-2-5-yrs-later-psa-rises?p=312133#post312133";"06-24-2016, 07:48 PM"
"20 days post surgery";"http://www.cancerforums.net/threads/44675-20-days-post-surgery";"SCpen";7;1;"Logic1";"http://www.cancerforums.net/members/114015-Logic1";"http://www.cancerforums.net/threads/44675-20-days-post-surgery?p=283924#post283924";"06-30-2015, 04:06 AM"
"20 month PSA results are in ......";"http://www.cancerforums.net/threads/48899-20-month-PSA-results-are-in";"Wilde";12;977;"MichiganMan16";"http://www.cancerforums.net/members/117327-MichiganMan16";"http://www.cancerforums.net/threads/48899-20-month-PSA-results-are-in?p=317882#post317882";"09-14-2016, 05:55 PM"
"20 months of incontinence";"http://www.cancerforums.net/threads/36125-20-months-of-incontinence";"Bravehardon";3;1;"Bravehardon";"http://www.cancerforums.net/members/106840-Bravehardon";"http://www.cancerforums.net/threads/36125-20-months-of-incontinence?p=221742#post221742";"01-09-2014, 08:02 PM"
"2015";"http://www.cancerforums.net/threads/42312-2015";"HighlanderCFH";10;2;"jtownstumpjumper";"http://www.cancerforums.net/members/113754-jtownstumpjumper";"http://www.cancerforums.net/threads/42312-2015?p=264437#post264437";"01-01-2015, 06:02 PM"
"22 months PSA still undetectable";"http://www.cancerforums.net/threads/47554-22-months-PSA-still-undetectable";"Shittingbricks";5;845;"Merc428";"http://www.cancerforums.net/members/117333-Merc428";"http://www.cancerforums.net/threads/47554-22-months-PSA-still-undetectable?p=306020#post306020";"03-30-2016, 08:51 AM"
"22 Radiation treatments done and stool is black";"http://www.cancerforums.net/threads/45002-22-Radiation-treatments-done-and-stool-is-black";"goatts";4;1;"Bravehardon";"http://www.cancerforums.net/members/106840-Bravehardon";"http://www.cancerforums.net/threads/45002-22-Radiation-treatments-done-and-stool-is-black?p=286336#post286336";"07-28-2015, 03:56 PM"
